TYPE,COUNT,CATEGORY
GENE,2462962,GENE/PROTEIN
PHENOTYPE,1890931,PHENOTYPE
ORGANISM,768014,CELL/ORGAN/ORGANISM
METABOLITE,742160,CHEMICAL
PROTEIN,639995,GENE/PROTEIN
MUTANT,629919,GENE/PROTEIN
TREATMENT,607357,TREATMENT
PROCESS,339354,PROCESS
ORGAN,201782,CELL/ORGAN/ORGANISM
SUBCELLULAR COMPARTMENT,169328,CELL/ORGAN/ORGANISM
TISSUE,120152,CELL/ORGAN/ORGANISM
CELL TYPE,116615,CELL/ORGAN/ORGANISM
PROTEIN COMPLEX,108748,GENE/PROTEIN
ENZYME,92621,GENE/PROTEIN
PROTEIN DOMAIN,51314,GENE/PROTEIN
BIOLOGICAL PROCESS,37382,PROCESS
METHOD,30384,METHOD
GENETIC ELEMENT,24719,GENE/PROTEIN
TECHNIQUE,23546,METHOD
GENE FAMILY,20064,GENE/PROTEIN
TOOL,19911,METHOD
GENOMIC REGION,18744,GENOMIC/TRANSCRIPTOMIC FEATURE
PROTEIN FAMILY,17210,GENE/PROTEIN
GENOME,12524,GENOMIC/TRANSCRIPTOMIC FEATURE
ORGANELLE,12092,CELL/ORGAN/ORGANISM
AMINO ACID,11519,GENOMIC/TRANSCRIPTOMIC FEATURE
DATABASE,11500,METHOD
METABOLIC PATHWAY,10347,BIOLOGICAL PROCESS
GENOMIC FEATURE,9940,GENOMIC/TRANSCRIPTOMIC FEATURE
DNA SEQUENCE,9079,GENOMIC/TRANSCRIPTOMIC FEATURE
RNA,9052,GENOMIC/TRANSCRIPTOMIC FEATURE
SEQUENCE,8700,GENOMIC/TRANSCRIPTOMIC FEATURE
VIRUS,8518,CELL/ORGAN/ORGANISM
PROTEIN STRUCTURE,7482,GENE/PROTEIN
MUTATION,7280,GENOMIC/TRANSCRIPTOMIC FEATURE
CHROMOSOME,7158,GENOMIC/TRANSCRIPTOMIC FEATURE
MOLECULE,6830,CHEMICAL
FUNCTION,6768,BIOLOGICAL PROCESS
GENE EXPRESSION,6663,GENOMIC/TRANSCRIPTOMIC FEATURE
SOFTWARE,6630,METHOD
PATHWAY,6422,BIOLOGICAL PROCESS
DATASET,5695,METHOD
COMPOUND,5628,CHEMICAL
SIGNALING PATHWAY,5426,BIOLOGICAL PROCESS
GENETIC MATERIAL,5344,GENOMIC/TRANSCRIPTOMIC FEATURE
ENVIRONMENT,5139,TREATMENT
GENOTYPE,5059,GENOMIC/TRANSCRIPTOMIC FEATURE
PEPTIDE,4982,GENE/PROTEIN
GENOMIC ELEMENT,4756,GENOMIC/TRANSCRIPTOMIC FEATURE
CONCEPT,4686,METHOD
GENETIC MARKER,4543,GENOMIC/TRANSCRIPTOMIC FEATURE
STUDY,4385,METHOD
DESCRIPTION,4192,METHOD
MODEL,4129,METHOD
CONDITION,3956,TREATMENT
TIME,3873,TREATMENT
PROTEIN MOTIF,3799,GENE/PROTEIN
MODIFICATION,3668,METHOD
EPIGENETIC MARK,3542,GENOMIC/TRANSCRIPTOMIC FEATURE
ENZYME ACTIVITY,3451,GENE/PROTEIN
PROTEIN REGION,3416,GENE/PROTEIN
CHEMICAL,3362,CHEMICAL
LOCATION,3162,METHOD
GENETIC VARIATION,2982,GENOMIC/TRANSCRIPTOMIC FEATURE
GENE FEATURE,2887,GENE/PROTEIN
GENE REGION,2872,GENE/PROTEIN
HORMONE,2871,CHEMICAL
REGULATORY ELEMENT,2756,GENOMIC/TRANSCRIPTOMIC FEATURE
AUTHOR,2709,METHOD
EPIGENETIC MODIFICATION,2625,GENOMIC/TRANSCRIPTOMIC FEATURE
GENE STRUCTURE,2524,GENE/PROTEIN
MEASUREMENT,2482,METHOD
DNA ELEMENT,2462,GENOMIC/TRANSCRIPTOMIC FEATURE
EXPERIMENT,2365,METHOD
METABOLIC PROCESS,2342,BIOLOGICAL PROCESS
RESEARCHER,2251,METHOD
PROTEIN FEATURE,2177,GENE/PROTEIN
MECHANISM,2142,METHOD
SYSTEM,2133,METHOD
FEATURE,2115,METHOD
PARAMETER,2071,METHOD
TRANSCRIPTION FACTOR,2017,GENE/PROTEIN
ALGORITHM,1989,METHOD
GENE CLUSTER,1985,GENE/PROTEIN
MIRNA,1952,GENOMIC/TRANSCRIPTOMIC FEATURE
EVENT,1943,METHOD
REACTION,1921,METHOD
GENOMIC LOCATION,1892,GENOMIC/TRANSCRIPTOMIC FEATURE
PHYTOHORMONE,1816,CHEMICAL
GENE GROUP,1792,GENE/PROTEIN
RESOURCE,1777,METHOD
PROMOTER,1774,GENE/PROTEIN
ORGANELLES,1763,CELL/ORGAN/ORGANISM
INTERACTION,1757,METHOD
SUBFAMILY,1710,GENOMIC/TRANSCRIPTOMIC FEATURE
SUBUNIT,1702,GENE/PROTEIN
ENVIRONMENTAL FACTOR,1652,TREATMENT
DEVICE,1630,METHOD
DISEASE,1595,TREATMENT
DNA,1585,GENOMIC/TRANSCRIPTOMIC FEATURE
ACTIVITY,1571,GENOMIC/TRANSCRIPTOMIC FEATURE
POLYSACCHARIDE,1533,CHEMICAL
METRIC,1523,METHOD
GENETIC FEATURE,1516,GENOMIC/TRANSCRIPTOMIC FEATURE
TECHNOLOGY,1515,METHOD
TRANSCRIPT,1509,GENE/PROTEIN
GENE ELEMENT,1414,GENE/PROTEIN
ALLELE,1377,GENE/PROTEIN
NETWORK,1327,METHOD
PROTEIN SEQUENCE,1314,GENE/PROTEIN
CONSTRUCT,1283,METHOD
PROTEIN MODIFICATION,1260,GENE/PROTEIN
POST-TRANSLATIONAL MODIFICATION,1258,GENE/PROTEIN
SEQUENCE MOTIF,1242,GENOMIC/TRANSCRIPTOMIC FEATURE
GENETIC VARIANT,1216,GENOMIC/TRANSCRIPTOMIC FEATURE
VECTOR,1190,METHOD
CATEGORY,1156,METHOD
MATERIAL,1154,CHEMICAL
GENETIC LOCUS,1141,GENE/PROTEIN
MOTIF,1115,GENOMIC/TRANSCRIPTOMIC FEATURE
CELL STRUCTURE,1105,CELL/ORGAN/ORGANISM
MRNA,1063,GENOMIC/TRANSCRIPTOMIC FEATURE
RESIDUE,1052,GENOMIC/TRANSCRIPTOMIC FEATURE
REGION,1045,GENOMIC/TRANSCRIPTOMIC FEATURE
PROTEIN SUBUNIT,1021,GENE/PROTEIN
GENES,984,GENE/PROTEIN
CELL PROCESS,961,BIOLOGICAL PROCESS
QTL,889,GENE/PROTEIN
BIOCHEMICAL PROCESS,877,BIOLOGICAL PROCESS
DATA,869,METHOD
GENOMIC SEQUENCE,855,GENOMIC/TRANSCRIPTOMIC FEATURE
CIS-ELEMENT,834,GENOMIC/TRANSCRIPTOMIC FEATURE
RESEARCH,833,METHOD
PROTEIN FUNCTION,822,GENE/PROTEIN
CLADE,769,GENOMIC/TRANSCRIPTOMIC FEATURE
CELLULAR PROCESS,757,BIOLOGICAL PROCESS
GEOGRAPHICAL LOCATION,757,METHOD
AMINO ACID RESIDUE,753,GENE/PROTEIN
DEVELOPMENTAL STAGE,747,TREATMENT
TIME POINT,738,TREATMENT
ACCESSION,733,GENOMIC/TRANSCRIPTOMIC FEATURE
HISTONE MODIFICATION,731,GENE/PROTEIN
PROTEIN FRAGMENT,725,GENE/PROTEIN
DOCUMENT,688,METHOD
PLASMID,683,GENOMIC/TRANSCRIPTOMIC FEATURE
RECEPTOR,669,GENE/PROTEIN
ANALYSIS,658,METHOD
GENETIC EVENT,646,GENE/PROTEIN
POLYMER,642,CHEMICAL
PROTEIN KINASE,632,GENE/PROTEIN
GENOMIC DATA,607,GENOMIC/TRANSCRIPTOMIC FEATURE
STRESS,582,TREATMENT
CHEMICAL STRUCTURE,581,CHEMICAL
GEOGRAPHIC LOCATION,581,TREATMENT
ABIOTIC STRESS,580,TREATMENT
MOLECULAR FUNCTION,574,BIOLOGICAL PROCESS
PROTEIN CLASS,571,GENE/PROTEIN
CULTIVAR,569,GENOMIC/TRANSCRIPTOMIC FEATURE
PERSON,563,METHOD
PROJECT,553,METHOD
GENOMIC EVENT,548,GENOMIC/TRANSCRIPTOMIC FEATURE
PROTEIN GROUP,541,GENE/PROTEIN
SIGNALLING PATHWAY,539,BIOLOGICAL PROCESS
GENE PRODUCT,539,GENE/PROTEIN
RESEARCH FIELD,535,METHOD
RESEARCHERS,531,METHOD
GENOMIC RESOURCE,524,GENOMIC/TRANSCRIPTOMIC FEATURE
ANTIBODY,522,GENE/PROTEIN
PROTEINS,521,GENE/PROTEIN
GENE NETWORK,510,METHOD
TIME PERIOD,498,TREATMENT
ECOTYPE,492,GENOMIC/TRANSCRIPTOMIC FEATURE
BIOPOLYMER,490,CHEMICAL
MARKER,487,GENOMIC/TRANSCRIPTOMIC FEATURE
PROTEIN INTERACTION,485,GENE/PROTEIN
GENE MODULE,484,GENE/PROTEIN
PLANT,479,CELL/ORGAN/ORGANISM
RELATIONSHIP,475,METHOD
CHEMICAL COMPOUND,471,CHEMICAL
PLANT HORMONE,470,CHEMICAL
LNCRNA,464,GENOMIC/TRANSCRIPTOMIC FEATURE
GENETIC CONSTRUCT,462,GENOMIC/TRANSCRIPTOMIC FEATURE
ORGANISM PART,462,CELL/ORGAN/ORGANISM
SEQUENCE FEATURE,461,GENOMIC/TRANSCRIPTOMIC FEATURE
GENETIC PROCESS,454,BIOLOGICAL PROCESS
GENUS,451,GENOMIC/TRANSCRIPTOMIC FEATURE
GENETIC CONCEPT,442,GENOMIC/TRANSCRIPTOMIC FEATURE
BIOLOGICAL PATHWAY,428,BIOLOGICAL PROCESS
CHEMICAL GROUP,417,CHEMICAL
